28.64,77.243,3,"October 31st 2017, 21:44:55.000"
28.64,77.255,9,"October 31st 2017, 11:31:27.000"
28.64,77.257,0,"October 31st 2017, 13:36:54.000"
28.64,77.257,0,"October 31st 2017, 03:27:07.000"
28.64,77.254,2,"October 31st 2017, 14:21:41.000"
28.517,77.221,0,"October 31st 2017, 09:53:25.000"
28.64,77.241,0,"October 31st 2017, 14:28:38.000"
28.64,77.258,3,"October 31st 2017, 04:00:52.000"
28.64,77.241,5,"October 31st 2017, 08:23:52.000"
28.64,77.256,3,"October 31st 2017, 01:22:16.000"
28.516,77.227,0,"October 31st 2017, 07:22:52.000"
28.533,77.232,0,"October 31st 2017, 10:40:33.000"
28.641,77.255,0,"October 31st 2017, 02:00:34.000"
28.641,77.255,1,"October 31st 2017, 02:02:52.000"
28.641,77.255,1,"October 31st 2017, 02:02:57.000"
28.66,77.232,0,"October 31st 2017, 21:32:04.000"
28.66,77.231,2,"October 31st 2017, 08:55:29.000"
28.66,77.236,8,"October 31st 2017, 04:12:58.000"
28.66,77.236,6,"October 31st 2017, 17:48:53.000"
28.528,77.232,0,"October 31st 2017, 19:57:56.000"
28.64,77.246,0,"October 31st 2017, 11:26:39.000"
28.64,77.256,1,"October 31st 2017, 14:19:56.000"
28.64,77.244,11,"October 31st 2017, 04:08:38.000"
28.656,77.237,2,"October 31st 2017, 17:45:08.000"
28.658,77.232,0,"October 31st 2017, 14:50:40.000"
28.659,77.236,0,"October 31st 2017, 14:44:19.000"
28.66,77.231,0,"October 31st 2017, 04:16:04.000"
28.66,77.236,1,"October 31st 2017, 21:30:35.000"
28.66,77.236,0,"October 31st 2017, 15:06:17.000"
28.66,77.234,3,"October 31st 2017, 04:13:18.000"
28.66,77.234,11,"October 31st 2017, 21:31:10.000"
28.66,77.235,8,"October 31st 2017, 04:13:08.000"
28.66,77.236,4,"October 31st 2017, 21:35:45.000"
28.516,77.227,2,"October 31st 2017, 10:29:07.000"
28.516,77.226,2,"October 31st 2017, 07:39:01.000"
28.516,77.225,1,"October 31st 2017, 20:09:23.000"
28.516,77.226,3,"October 31st 2017, 16:40:05.000"
28.516,77.226,5,"October 31st 2017, 04:48:57.000"
28.516,77.226,2,"October 31st 2017, 07:38:56.000"
28.527,77.231,0,"October 31st 2017, 16:46:34.000"
28.628,77.242,3,"October 31st 2017, 15:29:25.000"
28.658,77.232,0,"October 31st 2017, 17:51:49.000"
28.528,77.232,0,"October 31st 2017, 16:12:53.000"
28.531,77.232,0,"October 31st 2017, 10:37:06.000"
28.531,77.232,10,"October 31st 2017, 07:47:11.000"
28.531,77.232,6,"October 31st 2017, 16:50:15.000"
28.531,77.232,7,"October 31st 2017, 16:11:25.000"
28.543,77.231,0,"October 31st 2017, 19:49:08.000"
28.555,77.229,0,"October 31st 2017, 09:32:57.000"
28.641,77.241,0,"October 31st 2017, 09:04:25.000"
28.641,77.24,6,"October 31st 2017, 04:09:23.000"
28.641,77.24,2,"October 31st 2017, 21:19:55.000"
28.641,77.241,5,"October 31st 2017, 04:25:58.000"
28.641,77.257,3,"October 31st 2017, 02:10:11.000"
28.66,77.231,0,"October 31st 2017, 08:53:20.000"
28.66,77.232,8,"October 31st 2017, 04:13:58.000"
28.554,77.228,0,"October 31st 2017, 19:40:05.000"
28.516,77.227,1,"October 31st 2017, 07:39:34.000"
28.64,77.241,0,"October 31st 2017, 11:23:21.000"
28.64,77.244,2,"October 31st 2017, 14:27:36.000"
28.64,77.256,5,"October 31st 2017, 01:22:01.000"
28.516,77.224,3,"October 31st 2017, 10:27:27.000"
28.516,77.225,5,"October 31st 2017, 07:38:01.000"
28.516,77.227,0,"October 31st 2017, 09:48:08.000"
28.537,77.232,0,"October 31st 2017, 10:45:19.000"
28.546,77.23,0,"October 31st 2017, 19:45:39.000"
28.556,77.229,0,"October 31st 2017, 15:59:31.000"
28.556,77.229,0.778,"October 31st 2017, 19:37:07.000"
28.627,77.241,0,"October 31st 2017, 08:17:09.000"
28.627,77.241,1,"October 31st 2017, 11:19:04.000"
28.627,77.241,8,"October 31st 2017, 05:42:06.000"
28.517,77.221,2,"October 31st 2017, 09:50:12.000"
28.517,77.221,5,"October 31st 2017, 20:10:43.000"
28.517,77.221,8,"October 31st 2017, 07:27:11.000"
28.517,77.222,5,"October 31st 2017, 16:26:05.000"
28.557,77.23,0,"October 31st 2017, 09:29:29.000"
28.557,77.23,14,"October 31st 2017, 06:55:25.000"
28.639,77.247,0,"October 31st 2017, 14:24:59.000"
28.639,77.247,3,"October 31st 2017, 04:06:43.000"
28.516,77.227,0,"October 31st 2017, 20:05:51.000"
28.516,77.222,6,"October 31st 2017, 20:10:23.000"
28.516,77.223,3,"October 31st 2017, 07:37:41.000"
28.523,77.229,7,"October 31st 2017, 20:02:43.000"
28.554,77.228,0,"October 31st 2017, 07:55:34.000"
28.64,77.257,5,"October 31st 2017, 03:36:57.000"
28.64,77.241,6,"October 31st 2017, 08:23:57.000"
28.659,77.232,0,"October 31st 2017, 08:51:35.000"
28.659,77.237,4,"October 31st 2017, 21:30:05.000"
28.517,77.221,0,"October 31st 2017, 09:51:37.000"
28.517,77.221,2,"October 31st 2017, 20:14:08.000"
28.517,77.227,2,"October 31st 2017, 10:30:42.000"
28.541,77.232,0,"October 31st 2017, 10:49:41.000"
28.543,77.231,0,"October 31st 2017, 09:38:45.000"
28.543,77.231,8,"October 31st 2017, 10:51:42.000"
28.554,77.228,0,"October 31st 2017, 16:59:08.000"
28.641,77.241,0,"October 31st 2017, 18:49:06.000"
28.641,77.241,5,"October 31st 2017, 21:44:00.000"
28.516,77.227,2,"October 31st 2017, 20:08:23.000"
28.516,77.226,7,"October 31st 2017, 04:46:32.000"
28.516,77.226,1,"October 31st 2017, 16:22:30.000"
28.635,77.241,4,"October 31st 2017, 15:25:45.000"
28.639,77.241,3,"October 31st 2017, 17:32:56.000"
28.639,77.248,4,"October 31st 2017, 21:46:25.000"
28.64,77.257,2,"October 31st 2017, 21:51:20.000"
28.64,77.257,2,"October 31st 2017, 21:50:45.000"
28.64,77.254,6,"October 31st 2017, 04:04:54.000"
28.641,77.241,0,"October 31st 2017, 15:22:50.000"
28.641,77.256,2,"October 31st 2017, 11:34:14.000"
28.657,77.237,0,"October 31st 2017, 14:41:33.000"
28.66,77.236,0,"October 31st 2017, 08:57:36.000"
28.66,77.235,9,"October 31st 2017, 08:33:27.000"
28.66,77.235,9,"October 31st 2017, 21:31:05.000"
28.66,77.236,3,"October 31st 2017, 08:58:33.000"
28.66,77.236,2,"October 31st 2017, 15:05:55.000"
28.66,77.236,5,"October 31st 2017, 08:57:18.000"
28.66,77.236,0,"October 31st 2017, 21:35:25.000"
28.66,77.236,2,"October 31st 2017, 15:08:15.000"
